comp,gfa,tg,tprime,taprime,tprimeextrap,tstar,ta,tstarextrap,tl
Al92Ni8,poor,512.4917496619503,493.28883349133287,1099.346122835958,326.5102227730423,621.4844246159007,1134.6988166231476,437.6479573444386,1013.15
Al92Sm8,good,589.3938331505917,544.6809444099197,1177.7785514587008,388.7520383332307,732.0035805644446,1229.311665800195,611.7537931305446,1173.15
Al94Co6,poor,592.7139170748491,485.23317394870696,1082.6237998962174,312.9854412204663,625.2290036725032,1125.1981222906052,440.17919432871815,1193.15
Al94Ni6,poor,465.6057642047418,462.1678723695917,1019.6297616845228,280.06098664190006,588.3291566532847,1084.922202144011,383.561989965385,973.15
Al94Sm6,poor,513.7748304194884,500.5032372551949,1120.523959170822,346.26477491673666,671.9764733499217,1176.1507752577313,544.1359052435115,1093.15
Al96Ni4,poor,457.8417540950574,468.7247702213484,1071.256251045606,314.3304678528892,572.2771508138944,1072.8039235915871,388.9141243061434,933.15
Al98Ni2,poor,492.7105094855602,409.3473173189219,899.8217337957776,217.5167348662821,560.2131582850716,1063.8020202677517,401.82636701474826,913.15
Cu28Zr72,poor,666.109242836906,682.8206711373577,1307.425126010669,504.4708474568676,843.2817068925406,1320.9122626761557,586.3241355857749,1340.575
Cu33Zr67,poor,699.0928122009685,711.8802854659082,1336.774873956172,559.4809186584714,850.3993836594311,1327.63351383408,635.162248787441,1273.15
Cu40Zr60,poor,687.8852197141618,707.619319754247,1332.97153954149,554.9268467481237,847.9945165062492,1325.4270177578935,620.065116034545,1250.575
Cu46Zr54,poor,699.5849680587128,716.9123835489354,1336.24560954358,554.0765445742463,827.0592533295687,1283.640540871951,548.7040426521039,1201.0
Cu50Zr50,good,695.5738450011934,724.428192918218,1348.990538675433,580.1344412173148,859.1376731951352,1337.6949888835877,636.6897598444991,1225.75
Cu56Zr44,good,691.2318292080065,724.5883387260653,1349.798073154965,579.9910553584411,871.4493083503901,1345.488494441062,670.5891902182432,1178.075
Cu60Zr40,poor,715.0998331023134,743.6053779953144,1365.120522973437,612.0724302103465,866.7540390928365,1348.7195884049054,649.4692420917256,1217.3833333333334
Cu62Zr38,good,748.1839456517218,774.0080513996452,1370.2654035252074,672.936648448945,867.6478738477665,1343.380909667983,679.0876672310783,1205.575
Cu64Zr36,good,762.3931064229196,770.6093562120616,1377.177363370669,659.9417490880696,867.7391628582957,1344.115525403323,665.5701293884624,1230.0
Cu65Zr35,good,731.0174991413394,764.9106557424657,1373.579262646866,652.2550944257422,873.666819792486,1343.908861577056,666.0861980372608,1260.575
Cu75Zr25,poor,729.0660476954536,746.6719405230826,1363.729701372335,629.3080436509181,865.15729597575,1344.2670426326565,672.022469476981,1373.15
Cu80Zr20,poor,708.9991082728927,696.8565815726249,1327.9066849208384,553.4516765922549,862.7073700570079,1344.022152784477,680.4807301026485,1373.15
Cu95Zr5,poor,549.3404584160339,573.5140542049016,1199.2110223175357,430.5512556725736,706.2282295507584,1193.8938738906295,490.81126770459,1293.15
Fe50Ni50,good,1175.716151079986,1046.4982853560912,1562.3250352287755,926.5327583128822,1155.1227411894108,1488.602763356116,706.8463010816683,1713.15
Mg75Y25,poor,682.0578004001102,566.6396871663188,1204.7068860090385,396.2011585706092,690.1237760726717,1225.682352333176,512.4049101702691,1033.15
Mg80Y20,poor,625.4419103479954,520.5886183259053,1134.8383919764865,356.03158466329165,691.8451296885892,1207.32851776232,575.4730996953144,973.15
Mg90Y10,poor,436.901069951563,414.6355711915376,995.456434181032,271.80291064790003,532.535366341281,1056.3524693571458,360.1706495595413,853.15
Mg95Y5,poor,334.55471011999697,368.7933842435011,917.442084389235,235.26471934061647,452.0555420885503,946.033834014008,294.7841627957895,873.15
Nb38Ni62,good,1053.9844430416783,1029.9246544078028,1574.8224756948528,824.0310595412183,1270.3376175515891,1609.5070934811963,938.8870044184952,1489.7166666666665
Nb40Ni60,good,1044.3141949703177,1059.5445885652966,1592.8622349538605,881.496954325976,1271.2546647129052,1608.9151150715809,964.79294084126,1480.0
