_id,Composition,Reference,Is_Amorphous?,Casting,Type,Size_Measure,Size1,Size2,Characterization,From,Tg_[K],Tl_[K],DOI,Dmax_[mm],Tx_[K],Tm_[K],Melting,Environment,Sigma_[Mpa],Zmax_[mm],E_[GPA],Possion's_Ratio,v,Rc_[K/s],Fracture_Strength_[MPa],G_[GPa],Density_[g/cm^3]
60490a203e6da430a7211acf,Al10Ce61.2Cu23.8Fe5,"Bian, Z., Inoue, A.: Materials Transactions. 46 (2005) 2541–2544.",AM,Melt Casting,Rod,,,,,Carter,361.0,652.0,10.2320/matertrans.46.2541,6.0,437.0,622.0,,,,,,,,,,,
60490a203e6da430a7211ad0,Al10Ce61.2Cu23.8Zn5,"Bian, Z., Inoue, A.: Materials Transactions. 47 (2006) 2599–2602.",AM,Melt Casting,Rod,,,,,Carter,383.0,685.0,10.2320/matertrans.47.2599,6.0,454.0,668.0,,,,,,,,,,,
60490a203e6da430a7211ad1,Al10Ce63Cu24.5Zn2.5,"Bian, Z., Inoue, A.: Materials Transactions. 47 (2006) 2599–2602.",AM,Melt Casting,Rod,,,,,Carter,368.0,680.0,10.2320/matertrans.47.2599,5.0,437.0,625.0,,,,,,,,,,,
60490a203e6da430a7211ad2,Al10Ce64.8Cu25.2,"Bian, Z., Inoue, A.: Materials Transactions. 46 (2005) 1857–1860.",AM,Melt Casting,Rod,,,,,Carter,348.0,663.0,10.2320/matertrans.46.1857,5.0,411.0,625.0,,,,,,,,,,,
60490a203e6da430a7211ad3,Al10Ce65Co25,"Zhang, T., Li, R., Pang, S.: Journal of Alloys and Compounds. 483 (2009) 60–63.",AM,Melt Casting,Rod,,,,,Carter,396.0,758.0,10.1016/j.jallcom.2008.07.224,2.0,410.0,676.0,,,,,,,,,,,
60490a203e6da430a7211ad4,Al10Ce65Co5Cu20,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,363.0,695.0,10.1016/j.actamat.2006.02.044,8.0,414.0,615.0,,,,,,,,,,,
60490a203e6da430a7211ad5,Al10Ce67Cu20Nb3,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,355.0,723.0,10.1016/j.actamat.2006.02.044,5.0,404.0,646.0,,,,,,,,,,,
60490a203e6da430a7211ad6,Al10Ce68Co2Cu20,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,352.0,716.0,10.1016/j.actamat.2006.02.044,10.0,419.0,615.0,,,,,,,,,,,
60490a203e6da430a7211ad7,Al10Ce68Cu20Fe2,,,,,,,,,Ben,352.0,708.0,10.1016/j.msea.2007.01.033,,423.0,,,,,5.0,,,,,,,
60490a203e6da430a7211ad8,Al10Ce68Cu20Fe2,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,352.0,708.0,10.1016/j.actamat.2006.02.044,5.0,423.0,646.0,,,,,,,,,,,
60490a203e6da430a7211ad9,Al10Ce68Cu20Fe2,"W.Y. Liu, H.F. Zhang, Z.Q. Hu, H. Wang, J. Alloys Compd. 397 (2005)202 ",AM,Melt Casting,Wedge,,,,,Carter,352.0,708.0,10.1016/j.jallcom.2005.01.043,,423.0,,,,,5.0,,,,,,,
60490a203e6da430a7211ada,Al10Ce68Cu20Nb2,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,345.0,721.0,10.1016/j.actamat.2006.02.044,8.0,421.0,646.0,,,,,,,,,,,
60490a203e6da430a7211adb,Al10Ce68Cu20Ni2,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,352.0,710.0,10.1016/j.actamat.2006.02.044,5.0,421.0,647.0,,,,,,,,,,,
60490a203e6da430a7211adc,Al10Ce68Cu20Si2,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,352.0,721.0,10.1016/j.actamat.2006.02.044,3.0,413.0,651.0,,,,,,,,,,,
60490a203e6da430a7211add,Al10Ce68Cu20Y2,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,,721.0,10.1016/j.actamat.2006.02.044,,,667.0,,,,,,,,,,,
60490a203e6da430a7211ade,Al10Ce68Cu20Zr2,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,,743.0,10.1016/j.actamat.2006.02.044,,,669.0,,,,,,,,,,,
60490a203e6da430a7211adf,Al10Ce69.5Co0.5Cu20,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,337.0,716.0,10.1016/j.actamat.2006.02.044,10.0,419.0,639.0,,,,,,,,,,,
60490a203e6da430a7211ae0,Al10Ce69.8Co0.2Cu20,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,339.0,721.0,10.1016/j.actamat.2006.02.044,8.0,414.0,643.0,,,,,,,,,,,
60490a203e6da430a7211ae1,Al10Ce69Co1Cu20,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,340.0,713.0,10.1016/j.actamat.2006.02.044,10.0,421.0,634.0,,,,,,,,,,,
60490a203e6da430a7211ae2,Al10Ce69Cu20Nb1,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,352.0,728.0,10.1016/j.actamat.2006.02.044,10.0,412.0,646.0,,,,,,,,,,,
60490a203e6da430a7211ae3,Al10Ce6Cu84,"Inoue, A., Park, J., Nishiyama, N., Masumoto, T.: Mater. Trans. JIM 34 (1993) 82-84.",AC,Melt Spinning,Ribbon,Width X Thickness,1,0.02, SEM  TEM XRD,Carter,,,10.2320/matertrans1989.34.82,,,,Radio Frequency Melting,Ar-gas,,,,,,,,,
60490a203e6da430a7211ae4,Al10Ce70Cu10Zn10,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,,781.0,10.1016/j.actamat.2006.02.044,,,639.0,,,,,,,,,,,
60490a203e6da430a7211ae5,Al10Ce70Cu15Mg5,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,,744.0,10.1016/j.actamat.2006.02.044,,,643.0,,,,,,,,,,,
60490a203e6da430a7211ae6,Al10Ce70Cu15Sn5,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,,698.0,10.1016/j.actamat.2006.02.044,,,653.0,,,,,,,,,,,
60490a203e6da430a7211ae7,Al10Ce70Cu17Zn3,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,341.0,733.0,10.1016/j.actamat.2006.02.044,3.0,412.0,634.0,,,,,,,,,,,
60490a203e6da430a7211ae8,Al10Ce70Cu18Zn2,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,345.0,730.0,10.1016/j.actamat.2006.02.044,2.0,399.0,633.0,,,,,,,,,,,
60490a203e6da430a7211ae9,Al10Ce70Cu19Zn1,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,343.0,743.0,10.1016/j.actamat.2006.02.044,1.0,391.0,635.0,,,,,,,,,,,
60490a203e6da430a7211aea,Al10Ce70Cu20,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,341.0,722.0,10.1016/j.actamat.2006.02.044,2.0,408.0,647.0,,,,,,,,,,,
60490a203e6da430a7211aeb,Al10Ce70Cu20,,,,,,,,,Ben,341.0,,10.1016/j.msea.2007.01.033,,401.0,,,,,2.0,,,,,,,
